Percentage of Homes with Smoke Detectors,Home Fire Deaths per Million of Population,,
0.50,22.9,,
0.67,20.8,,
0.74,17.3,,
0.76,20.5,,
0.77,19.4,,
0.82,18.9,,
0.81,17.6,,
0.85,16.2,,
0.86,13.6,,
0.88,14.4,,
0.90,14.3,,
0.92,13.0,,
0.95,10.9,,
0.96,10.9,,
0.97,10.2,,
0.96,8.4,,
0.96,8.1,,
,,,
,,,
,,,
